Index,Date,Year,Prev_date,nest_number,ID,Species,Start.Time,AMPM,AMPM_asnumeric,Duration_min,Start.Air.Temp,Start.Egg.Temp,Mean.Egg.Temp_offbout,Sunrise,Sunset,prev.sunset,Day.Length,ID_day,two_before_start,Air.Mean.2hr,Air.SD.2hr,Air.Max.2hr,Air.Min.2hr,log_Duration,predict_BestMod2hr,predict_BestMod2hrTim
1,5/25/2015,2015,5/24/2015,15-3,2015SC03,SC,6.4,AM,1,682,11.492,34.704,27.49,6.27,20.5,20.5,14:23:18,2015SC03_1,4.4,15.59533581,3.245093235,19.508,8.245,6.525029658,5.595557166,9.855530839
3,5/27/2015,2015,5/26/2015,15-3,2015SC03,SC,6.24,AM,1,370,12.751,34.942,31.789,6.26,20.52,20.51,14:25:50,2015SC03_3,4.24,15.73044703,3.237398137,19.579,8.245,5.913503006,5.600859082,9.922733047
4,5/27/2015,2015,5/26/2015,15-3,2015SC03,SC,18.36,PM,2,96,23.593,36.796,30.563,6.26,20.52,20.51,14:25:50,2015SC03_3,4.36,15.62545445,3.246050612,19.508,8.245,4.564348191,4.927864709,9.871662232
7,5/30/2015,2015,5/29/2015,15-3,2015SC03,SC,4.04,AM,1,610,13.57,35.155,29.87,6.25,20.54,20.53,14:29:18,2015SC03_6,2.04,16.5521303,3.382051135,21.342,8.668,6.413458957,5.633102858,10.41386186
8,5/30/2015,2015,5/29/2015,15-3,2015SC03,SC,7,AM,1,18,22.944,29.69,27.695,6.25,20.54,20.53,14:29:18,2015SC03_6,5,15.5117447,3.232987224,19.912,8.245,2.890371758,5.592276957,9.806691277
10,6/1/2015,2015,5/31/2015,15-3,2015SC03,SC,17.02,PM,2,190,35.797,36.525,33.906,6.24,20.55,20.55,14:31:24,2015SC03_8,3.02,16.22528229,3.327206947,20.388,8.643,5.247024072,4.951402628,10.21966206
11,6/1/2015,2015,5/31/2015,15-3,2015SC03,SC,6.42,AM,1,314,15.676,35.448,31.782,6.24,20.55,20.55,14:31:24,2015SC03_8,4.42,15.58224788,3.243687965,19.508,8.245,5.749392986,5.595043581,9.848095053
12,6/2/2015,2015,6/1/2015,15-3,2015SC03,SC,15.22,PM,2,240,45,36.606,34.548,6.24,20.56,20.55,14:32:23,2015SC03_9,1.22,16.86649788,3.324022643,22.178,9.46,5.480638923,4.976564649,10.55294645
13,6/3/2015,2015,6/2/2015,15-3,2015SC03,SC,18.34,PM,2,132,33.652,37.069,32.911,6.23,20.57,20.56,14:33:19,2015SC03_10,4.34,15.64181886,3.245778186,19.508,8.245,4.882801923,4.928506867,9.880085644
14,6/3/2015,2015,6/2/2015,15-3,2015SC03,SC,6.34,AM,1,282,18.033,36.552,32.766,6.23,20.57,20.56,14:33:19,2015SC03_10,4.34,15.64181886,3.245778186,19.508,8.245,5.641907071,5.597381213,9.880085644
