Index,ID_day,AMPM_ID_day,Start.Time,Date,Year,Prev_date,nest_number,ID,Species,AMPM,Duration_min,Start.Air.Temp,Start.Egg.Temp,Mean.Egg.Temp_offbout,Sunrise,Sunset,prev.sunset,Day.Length,two_before_start,Air.Mean.24hr,Air.SD.24hr,Air.Max.24hr,Air.Min.24hr,Air.Mean.Morn,Air.SD.Morn,Air.Max.Morn,Air.Min.Morn,Air.Mean.Aft,Air.SD.Aft,Air.Max.Aft,Air.Min.Aft,Air.Mean.PrevDay,Air.SD.PrevDay,Air.Max.PrevDay,Air.Min.PrevDay,Air.Mean.PrevAft,Air.SD.PrevAft,Air.Max.PrevAft,Air.Min.PrevAft,Air.Mean.PrevNight,Air.SD.PrevNight,Air.Max.PrevNight,Air.Min.PrevNight,nest.Mean.2hr,nest.SD.2hr,nest.Max.2hr,nest.Min.2hr,nest.Mean.24hr,nest.SD.24hr,nest.Max.24hr,nest.Min.24hr,nest.Mean.Morn,nest.SD.Morn,nest.Max.Morn,nest.Min.Morn,nest.Mean.Aft,nest.SD.Aft,nest.Max.Aft,nest.Min.Aft,nest.Mean.PrevDay,nest.SD.PrevDay,nest.Max.PrevDay,nest.Min.PrevDay,nest.Mean.PrevAft,nest.SD.PrevAft,nest.Max.PrevAft,nest.Min.PrevAft,nest.Mean.PrevNight,nest.SD.PrevNight,nest.Max.PrevNight,nest.Min.PrevNight,log_Duration,CV.24hr,CV.Morn,CV.Aft,CV.PrevDay,CV.PrevAft,CV.PrevNight,X24hr_thirds,Date_2,Month_Year,Date_Written,predictedtime
1,2015BW011_16,PM_2015BW011_16,14.44,6/9/2015,2015,6/8/2015,15-11,2015BW011,BW,PM,248,45,37.206,34.711,6.22,20.59,20.59,14:37:17,0.44,30.53111806,10.79907895,45,16.654,34.9455,10.03399471,45,17.034,38.79600372,6.152116962,45,26.671,29.63775079,8.314552967,44.503,17.701,33.74242291,6.040862418,44.503,22.202,18.12033452,1.101172172,22.13,16.654,35.69311574,3.6574464,37.728,19.984,36.55476111,1.340796524,38.06,31.459,36.82154762,0.261638087,37.178,36.173,35.89435316,1.982323382,38.06,31.459,36.06663407,1.795365889,37.728,29.439,35.98694714,2.089773898,37.728,29.439,36.64173665,0.442906337,37.37,34.995,5.513428746,0.353707287,0.28713267,0.158576048,0.28053927,0.179028709,0.060769969,Middle,6/9/2015,15-Jun,9-Jun-15,15.41727782
3,2015BW011_18,PM_2015BW011_18,14.04,6/11/2015,2015,6/10/2015,15-11,2015BW011,BW,PM,416,45,37.755,36.054,6.22,21.01,21,14:39:04,0.04,30.48390278,9.665723818,45,19.175,34.93554167,9.109445209,45,20.246,36.96852963,7.467160546,45,22.872,31.88657639,9.093076319,45,19.984,38.14064312,6.005539047,45,27.751,23.29616071,2.990989806,27.554,19.175,35.70606874,3.777832291,37.755,19.698,36.70261944,1.430891542,38.588,30.874,36.98394048,0.262459662,37.618,36.308,36.20928519,2.191160531,38.588,30.874,36.69367083,1.366032114,37.976,31.714,36.05388476,2.031243443,37.976,31.714,37.16521786,0.488254523,37.673,35.797,6.03068526,0.317076323,0.260750078,0.20198695,0.285169414,0.157457729,0.128389817,Middle,6/11/2015,15-Jun,11-Jun-15,15.29239637
4,2015BW011_19,PM_2015BW011_19,16,6/20/2016,2016,6/19/2016,16-10,2016SC010,SC,PM,172,25.258,36.552,31.855,6.22,21.01,21.01,14:39:34,2,20.51393194,2.775116326,28.048,16.415,21.29682738,3.087596294,28.048,16.725,22.4037037,1.913805571,25.866,19.77,30.48390278,9.665723818,45,19.175,36.96852963,7.467160546,45,22.872,18.87114286,1.962445344,23.497,16.415,35.70057627,3.472723589,37.838,20.817,34.65621528,2.875239886,37.124,23.785,33.18444048,4.047442605,36.362,23.785,34.96908148,3.082307132,37.124,25.453,36.70261944,1.430891542,38.588,30.874,36.20928519,2.191160531,38.588,30.874,35.488875,1.11575226,37.425,33.94,5.147494477,0.135279591,0.144979167,0.085423624,0.317076323,0.20198695,0.103991865,Cool,6/20/2016,16-Jun,20-Jun-16,17.24484309
5,2015BW011_19,AM_2015BW011_19,7.08,6/20/2016,2016,6/19/2016,16-10,2016SC010,SC,AM,172,25.258,36.552,31.855,6.22,21.01,21.01,14:39:34,2,20.51393194,2.775116326,28.048,16.415,21.29682738,3.087596294,28.048,16.725,22.4037037,1.913805571,25.866,19.77,30.48390278,9.665723818,45,19.175,36.96852963,7.467160546,45,22.872,18.87114286,1.962445344,23.497,16.415,35.70057627,3.472723589,37.838,20.817,34.65621528,2.875239886,37.124,23.785,33.18444048,4.047442605,36.362,23.785,34.96908148,3.082307132,37.124,25.453,36.70261944,1.430891542,38.588,30.874,36.20928519,2.191160531,38.588,30.874,35.488875,1.11575226,37.425,33.94,5.147494477,0.135279591,0.144979167,0.085423624,0.317076323,0.20198695,0.103991865,Cool,6/20/2016,16-Jun,20-Jun-16,7.013147604
6,2015BW011_20,PM_2015BW011_20,15.5,6/13/2015,2015,6/12/2015,15-11,2015BW011,BW,PM,380,31.153,37.178,31.902,6.22,21.02,21.01,14:40:01,1.5,24.08014722,4.989799851,35.155,19.032,24.6750119,5.327853218,34.995,19.341,28.06512593,3.702014487,35.155,21.223,20.51393194,2.775116326,28.048,16.415,22.4037037,1.913805571,25.866,19.77,19.37450357,0.21872493,19.96,18.866,35.70269021,3.468679911,37.811,20.865,35.903325,2.081580982,37.398,27.161,36.61416071,0.272154375,37.261,35.85,34.8771963,3.124196782,37.398,27.161,34.65621528,2.875239886,37.124,23.785,34.96908148,3.082307132,37.124,25.453,36.29711071,0.263937333,36.905,35.395,5.940171253,0.207216335,0.215920999,0.131907995,0.135279591,0.085423624,0.011289318,Cool,6/13/2015,15-Jun,13-Jun-15,14.68397734
7,2015BW011_21,PM_2015BW011_21,13.5,6/14/2015,2015,6/13/2015,15-11,2015BW011,BW,PM,210,33.365,37.563,34.613,6.24,21.05,21.05,14:40:59,-0.5,22.12628056,4.153525768,36.173,17.415,20.1684012,0.793236698,21.604,18.675,26.17031985,4.232999123,36.173,19.008,24.08014722,4.989799851,35.155,19.032,28.014375,3.735340114,35.155,21.151,20.13837634,0.712402111,21.366,18.889,35.71646667,3.796048997,37.755,19.698,36.35413611,1.360960515,37.728,29.941,36.812,0.224846266,37.096,36.119,36.05069118,2.123732577,37.728,29.941,35.903325,2.081580982,37.398,27.161,34.89150735,3.117102502,37.398,27.161,36.57132616,0.302201439,36.933,35.797,5.347107531,0.187719113,0.039330668,0.161748085,0.207216335,0.13333655,0.03537535,Cool,6/14/2015,15-Jun,14-Jun-15,14.55449472
8,2015BW011_22,PM_2015BW011_22,15.23,6/24/2016,2016,6/23/2016,16-10,2016SC010,SC,PM,386,27.358,37.178,33.99,6.22,21.02,21.02,14:40:24,4.3,24.53477917,6.429048491,38.309,16.487,26.13591667,5.870349783,35.422,18.295,30.04344815,3.782800633,38.309,21.867,22.12628056,4.153525768,36.173,17.415,26.2231963,4.203550914,36.173,19.056,17.96419355,0.833085859,19.08,16.487,35.51180226,3.339708508,37.673,21.891,35.78314583,1.915604987,38.309,27.825,36.30820238,0.545532488,37.508,34.757,35.05192593,2.9021462,38.309,27.825,36.35413611,1.360960515,37.728,29.941,36.04787778,2.131359101,37.728,29.941,35.94197849,0.410217682,36.715,35.102,5.955837369,0.262038164,0.224608528,0.125911001,0.187719113,0.160298953,0.046374799,Cool,6/24/2016,16-Jun,24-Jun-16,17.76690926
9,2015BW011_23,PM_2015BW011_23,14.28,6/16/2015,2015,6/15/2015,15-11,2015BW011,BW,PM,394,44.38,37.728,34.432,6.22,21.03,21.02,14:40:45,0.28,26.275025,8.374663231,44.843,16.058,28.19552976,7.025194346,39.29,16.32,33.09217712,6.480191503,44.843,21.795,24.53477917,6.429048491,38.309,16.487,30.04344815,3.782800633,38.309,21.867,18.24317921,1.040327842,21.533,16.058,35.69586019,3.712851946,37.728,19.793,36.57058889,1.430511639,38.115,30.646,36.82568452,0.567740412,37.673,35.555,36.27508856,2.210714986,38.115,30.646,35.78314583,1.915604987,38.309,27.825,35.05192593,2.9021462,38.309,27.825,36.59158423,0.356140986,37.151,35.128,5.976350909,0.318730933,0.249159863,0.195822459,0.262038164,0.125911001,0.057025578,Cool,6/16/2015,15-Jun,16-Jun-15,15.02750367
10,2015BW011_24,PM_2015BW011_24,15.72,6/23/2015,2015,6/22/2015,15-11,2015BW011,BW,PM,412,42.714,37.673,35.004,6.22,21.03,21.03,14:41:02,-0.68,27.9942875,9.222253719,44.719,16.963,32.46345833,9.707931323,44.658,17.153,34.17182657,5.899402679,44.719,23.93,26.275025,8.374663231,44.843,16.058,33.09217712,6.480191503,44.843,21.795,18.78654839,1.033690339,21.652,16.963,35.71639976,3.822772266,37.755,19.698,36.37117361,1.712116995,38.254,29.464,37.31302976,0.215586748,38.004,36.824,35.71131734,2.57678153,38.254,29.464,36.57058889,1.430511639,38.115,30.646,36.27508856,2.210714986,38.115,30.646,36.67346953,0.463962227,37.343,35.716,6.021023349,0.329433415,0.29904181,0.172639372,0.318730933,0.195822459,0.055022898,Cool,6/23/2015,15-Jun,23-Jun-15,15.10128211
12,2015BW011_26,PM_2015BW011_26,14.48,6/19/2015,2015,6/18/2015,15-11,2015BW011,BW,PM,408,39.658,37.838,34.42,6.22,21.04,21.03,14:41:27,0.48,29.67099583,8.821717478,45,19.365,32.11478571,8.187675548,43.799,19.698,36.75651661,5.957823742,45,26.549,28.49273472,8.818137175,45,17.701,33.91267528,5.488419556,44.627,24.291,21.03201075,1.098506692,24.074,19.365,35.69346045,3.639858604,37.728,20.269,36.57938889,1.321649646,38.421,32.458,36.9870119,0.56358744,38.17,35.797,36.13619557,2.006409224,38.421,32.458,36.30297917,1.709959102,38.421,30.066,35.71113284,2.579034259,38.421,30.066,36.74365591,0.366927614,37.783,36.146,6.011267174,0.297317877,0.25495034,0.162088911,0.309487217,0.16183977,0.052230227,Middle,6/19/2015,15-Jun,19-Jun-15,15.27790834
