,X,Index,Date,Year,Prev_date,nest_number,ID,Species,Start.Time,AMPM,AMPM_asnumeric,Duration_min,Start.Air.Temp,Start.Egg.Temp,Mean.Egg.Temp_offbout,Sunrise,Sunset,prev.sunset,Day.Length,ID_day,two_before_start,Air.Mean.2hr,Air.SD.2hr,Air.Max.2hr,Air.Min.2hr,log_Duration,Air_CV,TempRange_Mean,TempRange_SD,Date_2,Month_Year,Date_Written,predict_BestMod2hr
156,239,222,7/4/2015,2015,7/3/2015,15-24,2015SC024,SC,7.43,AM,1,258,21.342,36.362,32.364,6.27,21.05,21.05,14:37:10,2015SC024_41,5.43,20.99835504,1.854678351,25.234,15.533,5.552959585,0.088324935,two,one,7/4/2015,15-Jul,4-Jul-15,223.4358087
172,260,207,6/22/2015,2015,6/21/2015,15-24,2015SC024,SC,5.59,AM,1,290,21.987,34.783,28.958,6.23,21.04,21.04,14:41:40,2015SC024_29,3.59,20.9262587,1.926745348,24.098,14.697,5.669880923,0.092073092,two,one,6/22/2015,15-Jun,22-Jun-15,223.0881486
169,257,218,7/1/2015,2015,6/30/2015,15-24,2015SC024,SC,6.01,AM,1,296,20.698,35.77,33.128,6.26,21.05,21.05,14:38:59,2015SC024_38,4.01,20.91340856,1.921940079,24.098,14.697,5.690359454,0.091899896,two,one,7/1/2015,15-Jul,1-Jul-15,223.0676567
148,223,225,7/7/2015,2015,7/6/2015,15-24,2015SC024,SC,7.15,AM,1,212,18.913,36.254,30.946,6.29,21.04,21.04,14:34:55,2015SC024_44,5.15,20.72067797,1.781754284,23.569,14.697,5.356586275,0.085989189,two,one,7/7/2015,15-Jul,7-Jul-15,222.9203655
159,243,224,7/6/2015,2015,7/5/2015,15-24,2015SC024,SC,6.21,AM,1,214,22.776,36.335,32.03,6.28,21.04,21.04,14:35:43,2015SC024_43,4.21,20.80027921,1.882471626,23.954,14.697,5.365976015,0.090502229,two,one,7/6/2015,15-Jul,6-Jul-15,222.8805877
152,230,220,7/2/2015,2015,7/1/2015,15-24,2015SC024,SC,6.51,AM,1,252,22.968,37.618,35.934,6.26,21.05,21.05,14:38:26,2015SC024_39,4.51,20.68863158,1.820358029,23.4,14.697,5.529429088,0.087988325,two,one,7/2/2015,15-Jul,2-Jul-15,222.7503939
51,77,191,6/25/2015,2015,6/24/2015,15-23,2015SC023,SC,6.17,AM,1,244,20.793,36.824,31.661,6.23,21.05,21.05,14:41:25,2015SC023_32,4.17,20.46157527,1.277209648,22.92,17.13,5.497168225,0.062419908,two,one,6/25/2015,15-Jun,25-Jun-15,219.9290583
52,78,201,7/2/2015,2015,7/1/2015,15-23,2015SC023,SC,6.17,AM,1,274,22.369,36.173,34.529,6.26,21.05,21.05,14:38:26,2015SC023_39,4.17,20.46157527,1.277209648,22.92,17.13,5.613128106,0.062419908,two,one,7/2/2015,15-Jul,2-Jul-15,219.9290583
50,76,199,7/1/2015,2015,6/30/2015,15-23,2015SC023,SC,6.19,AM,1,280,20.126,36.065,32.439,6.26,21.05,21.05,14:38:59,2015SC023_38,4.19,20.44933799,1.276656863,22.872,17.13,5.634789603,0.062430229,two,one,7/1/2015,15-Jul,1-Jul-15,219.9000899
49,73,185,6/21/2015,2015,6/20/2015,15-23,2015SC023,SC,6.29,AM,1,292,20.984,34.757,34.315,6.22,21.04,21.04,14:41:39,2015SC023_28,4.29,20.39500499,1.273667831,22.872,17.13,5.676753802,0.062449989,two,one,6/21/2015,15-Jun,21-Jun-15,219.7727281
589,756,328,6/29/2015,2015,6/28/2015,15-37,2015BW037,BW,12.51,PM,2,196,36.146,38.06,33.789,6.25,21.05,21.05,14:39:56,2015BW037_36,10.51,34.39385956,2.966807669,40.602,26.916,5.278114659,0.086259806,four,two,6/29/2015,15-Jun,29-Jun-15,219.7300234
47,69,198,6/30/2015,2015,6/29/2015,15-23,2015SC023,SC,6.35,AM,1,186,18.414,35.502,32.164,6.26,21.05,21.05,14:39:28,2015SC023_37,4.35,20.36673878,1.269491113,22.872,17.13,5.225746674,0.062331585,two,one,6/30/2015,15-Jun,30-Jun-15,219.7126297
46,68,186,6/22/2015,2015,6/21/2015,15-23,2015SC023,SC,6.39,AM,1,262,21.199,35.368,34.705,6.23,21.04,21.04,14:41:40,2015SC023_29,4.39,20.34986441,1.265898411,22.872,17.13,5.568344504,0.062206725,two,one,6/22/2015,15-Jun,22-Jun-15,219.6793352
43,65,189,6/23/2015,2015,6/22/2015,15-23,2015SC023,SC,6.43,AM,1,258,20.65,35.609,34.77,6.23,21.04,21.04,14:41:38,2015SC023_30,4.43,20.33412363,1.261902671,22.872,17.13,5.552959585,0.062058375,two,one,6/23/2015,15-Jun,23-Jun-15,219.6497915
195,294,321,7/14/2015,2015,7/13/2015,15-36,2015SC036,SC,8.14,AM,1,252,24.05,32.073,33.73,6.33,21.01,21.02,14:28:03,2015SC036_51,6.14,21.15098063,2.055429047,29.04,15.414,5.529429088,0.097178901,two,two,7/14/2015,15-Jul,14-Jul-15,208.5534339
166,253,322,7/15/2015,2015,7/14/2015,15-36,2015SC036,SC,7.38,AM,1,242,23.016,32.047,33.766,6.34,21.01,21.01,14:26:53,2015SC036_52,5.38,20.51612187,1.913176126,24.484,15.27,5.488937726,0.093252328,two,one,7/15/2015,15-Jul,15-Jul-15,207.3174559
183,277,326,7/17/2015,2015,7/16/2015,15-36,2015SC036,SC,7.12,AM,1,298,22.226,31.919,34.801,6.35,21,21,14:24:27,2015SC036_54,5.12,20.38092817,1.970188401,23.232,14.673,5.697093487,0.096668237,two,one,7/17/2015,15-Jul,17-Jul-15,206.849108
193,291,318,7/12/2015,2015,7/11/2015,15-36,2015SC036,SC,6.52,AM,1,272,21.294,33.183,33.08,6.32,21.02,21.03,14:30:14,2015SC036_49,4.52,20.40072478,2.037822946,23.232,14.529,5.605802066,0.099889733,two,two,7/12/2015,15-Jul,12-Jul-15,206.7391478
320,458,285,6/26/2015,2015,6/25/2015,15-31,2015SC031,SC,11.45,AM,1,150,33.001,41.473,39.115,6.24,21.05,21.05,14:41:13,2015SC031_33,9.45,30.92741982,3.702503596,39.205,20.055,5.010635294,0.11971589,four,two,6/26/2015,15-Jun,26-Jun-15,204.7194504
742,911,591,6/30/2016,2016,6/29/2016,16-37,2016BW037,BW,15.5,PM,2,238,37.015,36.633,32.214,6.26,21.05,21.04,14:39:07,2016BW037_131,13.5,42.23422134,4.057646095,45,30.469,5.472270674,0.096074841,five,three,6/30/2016,16-Jun,30-Jun-16,198.9918379
369,508,473,8/29/2015,2015,8/28/2015,15-58,2015BW058,BW,12.03,AM,1,170,21.843,33.914,33.628,7.1,20.15,20.16,13:04:36,2015BW058_94,10.03,29.55988582,4.489825792,40.458,20.507,5.135798437,0.151889145,three,three,8/29/2015,15-Aug,29-Aug-15,198.8105364
301,435,16,6/5/2015,2015,6/4/2015,15-3,2015SC03,SC,6.02,AM,1,290,18.675,36.389,33.809,6.23,20.58,20.57,14:35:03,2015SC03_12,4.02,15.89497775,3.243254754,19.722,8.245,5.669880923,0.204042736,one,two,6/5/2015,15-Jun,5-Jun-15,198.6797954
103,141,129,6/21/2015,2015,6/20/2015,15-14,2015SC014,SC,5.13,AM,1,226,20.174,27.53,25.209,6.22,21.04,21.04,14:41:39,2015SC014_28,3.13,20.04200508,1.43743498,22.848,17.391,5.420534999,0.071721116,two,one,6/21/2015,15-Jun,21-Jun-15,198.2478427
302,438,14,6/3/2015,2015,6/2/2015,15-3,2015SC03,SC,6.34,AM,1,282,18.033,36.552,32.766,6.23,20.57,20.56,14:33:19,2015SC03_10,4.34,15.64181886,3.245778186,19.508,8.245,5.641907071,0.207506443,one,two,6/3/2015,15-Jun,3-Jun-15,198.0477118
299,431,18,6/6/2015,2015,6/5/2015,15-3,2015SC03,SC,7.16,AM,1,224,19.674,34.969,33.868,6.23,20.58,20.58,14:35:51,2015SC03_13,5.16,15.52749047,3.221513888,20.412,8.245,5.411646052,0.207471638,one,two,6/6/2015,15-Jun,6-Jun-15,197.8219511
300,432,8,5/30/2015,2015,5/29/2015,15-3,2015SC03,SC,7,AM,1,18,22.944,29.69,27.695,6.25,20.54,20.53,14:29:18,2015SC03_6,5,15.5117447,3.232987224,19.912,8.245,2.890371758,0.208421895,one,two,5/30/2015,15-May,30-May-15,197.7560466
95,132,131,6/23/2015,2015,6/22/2015,15-14,2015SC014,SC,5.45,AM,1,140,19.722,27.038,24.503,6.23,21.04,21.04,14:41:38,2015SC014_30,3.45,19.74501864,1.388502499,22.345,17.034,4.941642423,0.070321661,one,one,6/23/2015,15-Jun,23-Jun-15,197.6282662
366,505,461,8/21/2015,2015,8/20/2015,15-58,2015BW058,BW,11.57,AM,1,126,20.841,33.209,32.82,7.03,20.26,20.27,13:22:06,2015BW058_86,9.57,29.1392694,4.421442015,39.177,20.46,4.836281907,0.151734827,three,three,8/21/2015,15-Aug,21-Aug-15,197.3296539
75,110,130,6/22/2015,2015,6/21/2015,15-14,2015SC014,SC,6.09,AM,1,244,20.936,27.653,25.238,6.23,21.04,21.04,14:41:40,2015SC014_29,4.09,19.55308814,1.333268212,22.226,17.034,5.497168225,0.068187092,one,one,6/22/2015,15-Jun,22-Jun-15,197.283339
61,91,124,6/17/2015,2015,6/16/2015,15-14,2015SC014,SC,6.27,AM,1,276,17.368,29.565,28.012,6.22,21.03,21.03,14:41:02,2015SC014_24,4.27,19.4455678,1.297333543,22.106,17.034,5.620400866,0.066716156,one,one,6/17/2015,15-Jun,17-Jun-15,197.1018396
53,79,128,6/20/2015,2015,6/19/2015,15-14,2015SC014,SC,6.37,AM,1,194,19.912,28.171,26.917,6.22,21.04,21.04,14:41:34,2015SC014_27,4.37,19.3944661,1.277936814,22.106,17.034,5.267858159,0.065891827,one,one,6/20/2015,15-Jun,20-Jun-15,197.021024
41,61,121,6/15/2015,2015,6/14/2015,15-14,2015SC014,SC,6.59,AM,1,244,18.913,30.798,29.999,6.22,21.02,21.02,14:40:24,2015SC014_22,4.59,19.34422542,1.239610925,21.843,17.034,5.497168225,0.064081704,one,one,6/15/2015,15-Jun,15-Jun-15,196.9868168
44,66,126,6/19/2015,2015,6/18/2015,15-14,2015SC014,SC,6.47,AM,1,188,19.793,28.394,26.819,6.22,21.04,21.03,14:41:27,2015SC014_26,4.47,19.35240339,1.262585982,21.963,17.034,5.236441963,0.065241818,one,one,6/19/2015,15-Jun,19-Jun-15,196.9530582
758,929,592,7/1/2016,2016,6/30/2016,16-37,2016BW037,BW,16.26,PM,2,168,31.51,35.662,28.943,6.26,21.05,21.05,14:38:34,2016BW037_132,14.26,41.40691625,4.427007149,45,30.066,5.123963979,0.106914679,five,three,7/1/2016,16-Jul,1-Jul-16,193.6734031
